# QuadID Node1 Node2 Node3 Node4
236 5868 5888 6017 5997
237 5997 6017 6022 6002
238 6002 6022 6027 6007
239 6007 6027 6032 6012
240 2260 5972 6101 3125
241 3125 6101 6106 3130
242 3130 6106 6111 3135
243 3135 6111 6116 3140
244 5972 5992 6121 6101
245 6101 6121 6126 6106
246 6106 6126 6131 6111
247 6111 6131 6136 6116
248 5992 6012 6141 6121
249 6121 6141 6146 6126
250 6126 6146 6151 6131
251 6131 6151 6156 6136
252 6012 6032 6161 6141
253 6141 6161 6166 6146
254 6146 6166 6171 6151
255 6151 6171 6176 6156
256 3140 6116 6245 3305
257 3305 6245 6250 3310
258 3310 6250 6255 3315
259 3315 6255 6260 3320
260 6116 6136 6265 6245
261 6245 6265 6270 6250
262 6250 6270 6275 6255
263 6255 6275 6280 6260
264 6136 6156 6285 6265
265 6265 6285 6290 6270
266 6270 6290 6295 6275
267 6275 6295 6300 6280
268 6156 6176 6305 6285
269 6285 6305 6310 6290
270 6290 6310 6315 6295
271 6295 6315 6320 6300
272 3320 6260 6389 3485
273 3485 6389 6394 3490
274 3490 6394 6399 3495
275 3495 6399 6404 3500
276 6260 6280 6409 6389
277 6389 6409 6414 6394
278 6394 6414 6419 6399
279 6399 6419 6424 6404
280 6280 6300 6429 6409
281 6409 6429 6434 6414
282 6414 6434 6439 6419
283 6419 6439 6444 6424
284 6300 6320 6449 6429
285 6429 6449 6454 6434
286 6434 6454 6459 6439
287 6439 6459 6464 6444
288 3500 6404 6533 4365
289 4365 6533 6538 4370
290 4370 6538 6543 4375
291 4375 6543 6548 4380
292 6404 6424 6553 6533
293 6533 6553 6558 6538
294 6538 6558 6563 6543
295 6543 6563 6568 6548
296 6424 6444 6573 6553
297 6553 6573 6578 6558
298 6558 6578 6583 6563
299 6563 6583 6588 6568
300 6444 6464 6593 6573
301 6573 6593 6598 6578
302 6578 6598 6603 6583
303 6583 6603 6608 6588
304 4380 6548 6677 4545
305 4545 6677 6682 4550
306 4550 6682 6687 4555
307 4555 6687 6692 4560
308 6548 6568 6697 6677
309 6677 6697 6702 6682
310 6682 6702 6707 6687
311 6687 6707 6712 6692
312 6568 6588 6717 6697
313 6697 6717 6722 6702
314 6702 6722 6727 6707
315 6707 6727 6732 6712
316 6588 6608 6737 6717
317 6717 6737 6742 6722
318 6722 6742 6747 6727
319 6727 6747 6752 6732
320 5420 6821 6822 5421
321 5421 6822 6831 5430
322 5430 6831 6836 5435
323 5435 6836 6841 5440
324 6821 6846 6847 6822
325 6822 6847 6856 6831
326 6831 6856 6861 6836
327 6836 6861 6866 6841
328 6846 6871 6872 6847
329 6847 6872 6881 6856
330 6856 6881 6886 6861
